"geographic name, english","geographic name, french","georaphie type, english","georaphie type, french",census division code,economic region code,province code,canadian heritage region code,speakers of English,speakers of French,English-French bilinguals,speakers of English or French,speakers of neither English nor French
Canada,Canada,national,nationale,n.d.,n.d.,n.d.,n.d.,"28,360,245","9,960,590","5,795,575","32,525,260","595,920"
Division No. 1,Division No. 1,Census division,division de recensement,cd1001,er1010,pr10,pch01,"259,635","15,805","15,760","259,680",335
Division No. 2,Division No. 2,Census division,division de recensement,cd1002,er1020,pr10,pch01,"21,240",520,510,"21,250",5
Division No. 3,Division No. 3,Census division,division de recensement,cd1003,er1020,pr10,pch01,"16,200",185,185,"16,200",5
Division No. 4,Division No. 4,Census division,division de recensement,cd1004,er1030,pr10,pch01,"20,625","1,330","1,320","20,635",10
Division No. 5,Division No. 5,Census division,division de recensement,cd1005,er1030,pr10,pch01,"40,515","1,395","1,395","40,515",15
Division No. 6,Division No. 6,Census division,division de recensement,cd1006,er1040,pr10,pch01,"37,015","1,440","1,435","37,020",35
Division No. 7,Division No. 7,Census division,division de recensement,cd1007,er1040,pr10,pch01,"34,330",620,615,"34,335",25
Division No. 8,Division No. 8,Census division,division de recensement,cd1008,er1040,pr10,pch01,"36,670",410,400,"36,680",15
Division No. 9,Division No. 9,Census division,division de recensement,cd1009,er1030,pr10,pch01,"16,600",225,225,"16,600",5
Division No. 10,Division No. 10,Census division,division de recensement,cd1010,er1030,pr10,pch01,"23,770","1,645","1,595","23,820",155
Division No. 11,Division No. 11,Census division,division de recensement,cd1011,er1030,pr10,pch01,"2,600",15,15,"2,600",10
Kings,Kings,Census division,division de recensement,cd1101,er1110,pr11,pch01,"17,765","1,025","1,020","17,770",95
Queens,Queens,Census division,division de recensement,cd1102,er1110,pr11,pch01,"76,045","9,555","9,495","76,105",600
Prince,Prince,Census division,division de recensement,cd1103,er1110,pr11,pch01,"43,785","6,555","6,490","43,850",15
Shelburne,Shelburne,Census division,division de recensement,cd1201,er1240,pr12,pch01,"14,345",690,690,"14,345",5
Yarmouth,Yarmouth,Census division,division de recensement,cd1202,er1240,pr12,pch01,"24,900","7,905","7,860","24,945",10
Digby,Digby,Census division,division de recensement,cd1203,er1240,pr12,pch01,"17,630","7,085","6,955","17,760",20
Queens,Queens,Census division,division de recensement,cd1204,er1240,pr12,pch01,"10,810",440,435,"10,815",5
Annapolis,Annapolis,Census division,division de recensement,cd1205,er1230,pr12,pch01,"20,425","1,405","1,385","20,445",10
Lunenburg,Lunenburg,Census division,division de recensement,cd1206,er1240,pr12,pch01,"46,755","2,825","2,810","46,770",20
Kings,Kings,Census division,division de recensement,cd1207,er1230,pr12,pch01,"59,575","4,995","4,915","59,655",75
Hants,Hants,Census division,division de recensement,cd1208,er1230,pr12,pch01,"41,850","2,425","2,420","41,855",80
Halifax,Halifax,Census division,division de recensement,cd1209,er1250,pr12,pch01,"384,865","46,780","46,400","385,245","1,190"
Colchester,Colchester,Census division,division de recensement,cd1210,er1220,pr12,pch01,"50,390","2,805","2,800","50,395",30
Cumberland,Cumberland,Census division,division de recensement,cd1211,er1220,pr12,pch01,"30,435","1,465","1,450","30,450",5
Pictou,Pictou,Census division,division de recensement,cd1212,er1220,pr12,pch01,"44,910","2,170","2,170","44,910",55
Guysborough,Guysborough,Census division,division de recensement,cd1213,er1220,pr12,pch01,"8,035",280,280,"8,035", -   
Antigonish,Antigonish,Census division,division de recensement,cd1214,er1220,pr12,pch01,"19,425","1,990","1,980","19,435",20
Inverness,Inverness,Census division,division de recensement,cd1215,er1210,pr12,pch01,"17,550","3,465","3,360","17,655",5
Richmond,Richmond,Census division,division de recensement,cd1216,er1210,pr12,pch01,"9,140","3,205","3,185","9,160",10
Cape Breton,Cape Breton,Census division,division de recensement,cd1217,er1210,pr12,pch01,"99,985","4,145","4,120","100,010",95
Victoria,Victoria,Census division,division de recensement,cd1218,er1210,pr12,pch01,"7,085",220,220,"7,085",5
Saint John,Saint John,Census division,division de recensement,cd1301,er1330,pr13,pch01,"74,975","9,810","9,720","75,065",225
Charlotte,Charlotte,Census division,division de recensement,cd1302,er1330,pr13,pch01,"26,170","2,120","2,115","26,175",45
Sunbury,Sunbury,Census division,division de recensement,cd1303,er1340,pr13,pch01,"26,695","5,000","4,625","27,070",10
Queens,Queens,Census division,division de recensement,cd1304,er1340,pr13,pch01,"10,855","1,040","1,025","10,870",5
Kings,Kings,Census division,division de recensement,cd1305,er1330,pr13,pch01,"69,115","11,220","11,155","69,180",55
Albert,Albert,Census division,division de recensement,cd1306,er1320,pr13,pch01,"28,560","6,520","6,475","28,605",10
Westmorland,Westmorland,Census division,division de recensement,cd1307,er1320,pr13,pch01,"135,115","78,770","72,870","141,015",210
Kent,Kent,Census division,division de recensement,cd1308,er1320,pr13,pch01,"27,535","23,945","21,160","30,320",15
Northumberland,Northumberland,Census division,division de recensement,cd1309,er1310,pr13,pch01,"44,395","15,515","12,425","47,485",40
York,York,Census division,division de recensement,cd1310,er1340,pr13,pch01,"95,785","19,910","19,600","96,095",260
Carleton,Carleton,Census division,division de recensement,cd1311,er1350,pr13,pch01,"26,645","2,245","2,230","26,660",15
Victoria,Victoria,Census division,division de recensement,cd1312,er1350,pr13,pch01,"18,310","10,035","8,665","19,680", -   
Madawaska,Madawaska,Census division,division de recensement,cd1313,er1350,pr13,pch01,"19,660","32,060","19,210","32,510",20
Restigouche,Restigouche,Census division,division de recensement,cd1314,er1310,pr13,pch01,"23,550","24,085","15,980","31,655",5
Gloucester,Gloucester,Census division,division de recensement,cd1315,er1310,pr13,pch01,"45,195","69,980","38,640","76,535",35
Les Îles-de-la-Madeleine,Les Îles-de-la-Madeleine,Census division,division de recensement,cd2401,er2410,pr24,pch02,"3,120","12,195","2,645","12,670", -   
Le Rocher-Percé,Le Rocher-Percé,Census division,division de recensement,cd2402,er2410,pr24,pch02,"3,900","17,180","3,205","17,875", -   
La Côte-de-Gaspé,La Côte-de-Gaspé,Census division,division de recensement,cd2403,er2410,pr24,pch02,"5,750","17,130","5,030","17,850",5
La Haute-Gaspésie,La Haute-Gaspésie,Census division,division de recensement,cd2404,er2410,pr24,pch02,"1,380","11,960","1,370","11,970",5
Bonaventure,Bonaventure,Census division,division de recensement,cd2405,er2410,pr24,pch02,"6,875","16,290","5,395","17,770",5
Avignon,Avignon,Census division,division de recensement,cd2406,er2410,pr24,pch02,"6,610","12,875","4,415","15,070",15
La Matapédia,La Matapédia,Census division,division de recensement,cd2407,er2415,pr24,pch02,"1,935","18,360","1,930","18,365", -   
Matane,Matane,Census division,division de recensement,cd2408,er2415,pr24,pch02,"3,465","21,625","3,445","21,645", -   
La Mitis,La Mitis,Census division,division de recensement,cd2409,er2415,pr24,pch02,"2,605","18,425","2,595","18,435", -   
Rimouski-Neigette,Rimouski-Neigette,Census division,division de recensement,cd2410,er2415,pr24,pch02,"11,950","54,330","11,905","54,375",15
Les Basques,Les Basques,Census division,division de recensement,cd2411,er2415,pr24,pch02,"1,235","9,050","1,230","9,055", -   
Rivière-du-Loup,Rivière-du-Loup,Census division,division de recensement,cd2412,er2415,pr24,pch02,"6,050","33,700","6,035","33,715",5
Témiscouata,Témiscouata,Census division,division de recensement,cd2413,er2415,pr24,pch02,"2,690","20,295","2,680","20,305",5
Kamouraska,Kamouraska,Census division,division de recensement,cd2414,er2415,pr24,pch02,"3,120","20,800","3,110","20,810", -   
Charlevoix-Est,Charlevoix-Est,Census division,division de recensement,cd2415,er2420,pr24,pch02,"2,430","16,010","2,410","16,030",5
Charlevoix,Charlevoix,Census division,division de recensement,cd2416,er2420,pr24,pch02,"2,220","13,130","2,215","13,135",5
L'Islet,L'Islet,Census division,division de recensement,cd2417,er2425,pr24,pch02,"2,495","18,265","2,480","18,280", -   
Montmagny,Montmagny,Census division,division de recensement,cd2418,er2425,pr24,pch02,"3,395","22,620","3,380","22,635",10
Bellechasse,Bellechasse,Census division,division de recensement,cd2419,er2425,pr24,pch02,"6,205","34,735","6,170","34,770",5
L'Île-d'Orléans,L'Île-d'Orléans,Census division,division de recensement,cd2420,er2420,pr24,pch02,"2,090","6,605","2,085","6,610", -   
La Côte-de-Beaupré,La Côte-de-Beaupré,Census division,division de recensement,cd2421,er2420,pr24,pch02,"6,870","25,760","6,845","25,785", -   
La Jacques-Cartier,La Jacques-Cartier,Census division,division de recensement,cd2422,er2420,pr24,pch02,"14,770","36,615","14,560","36,825",15
Québec,Québec,Census division,division de recensement,cd2423,er2420,pr24,pch02,"205,570","541,775","204,395","542,950","1,550"
Lévis,Lévis,Census division,division de recensement,cd2425,er2425,pr24,pch02,"44,255","137,015","44,120","137,150",45
La Nouvelle-Beauce,La Nouvelle-Beauce,Census division,division de recensement,cd2426,er2425,pr24,pch02,"7,450","34,800","7,430","34,820",10
Robert-Cliche,Robert-Cliche,Census division,division de recensement,cd2427,er2425,pr24,pch02,"3,270","18,920","3,260","18,930",5
Les Etchemins,Les Etchemins,Census division,division de recensement,cd2428,er2425,pr24,pch02,"2,815","16,835","2,790","16,860",5
Beauce-Sartigan,Beauce-Sartigan,Census division,division de recensement,cd2429,er2425,pr24,pch02,"10,705","50,140","10,680","50,165",20
Le Granit,Le Granit,Census division,division de recensement,cd2430,er2430,pr24,pch02,"4,365","22,045","4,340","22,070", -   
Les Appalaches,Les Appalaches,Census division,division de recensement,cd2431,er2425,pr24,pch02,"8,325","42,260","8,265","42,320",20
L'Érable,L'Érable,Census division,division de recensement,cd2432,er2433,pr24,pch02,"3,870","23,030","3,845","23,055",15
Lotbinière,Lotbinière,Census division,division de recensement,cd2433,er2425,pr24,pch02,"5,480","29,155","5,455","29,180",25
Portneuf,Portneuf,Census division,division de recensement,cd2434,er2420,pr24,pch02,"10,690","48,635","10,650","48,675",30
Mékinac,Mékinac,Census division,division de recensement,cd2435,er2470,pr24,pch02,"1,890","12,820","1,885","12,825", -   
Shawinigan,Shawinigan,Census division,division de recensement,cd2436,er2470,pr24,pch02,"10,535","48,595","10,485","48,645",35
Francheville,Francheville,Census division,division de recensement,cd2437,er2470,pr24,pch02,"41,655","147,025","41,475","147,205",205
Bécancour,Bécancour,Census division,division de recensement,cd2438,er2433,pr24,pch02,"4,440","19,520","4,415","19,545",10
Arthabaska,Arthabaska,Census division,division de recensement,cd2439,er2433,pr24,pch02,"14,765","68,390","14,710","68,445",100
Les Sources,Les Sources,Census division,division de recensement,cd2440,er2430,pr24,pch02,"3,605","14,385","3,505","14,485",20
Le Haut-Saint-François,Le Haut-Saint-François,Census division,division de recensement,cd2441,er2430,pr24,pch02,"7,590","21,020","6,825","21,785",5
Le Val-Saint-François,Le Val-Saint-François,Census division,division de recensement,cd2442,er2430,pr24,pch02,"10,550","28,840","9,970","29,420",10
Sherbrooke,Sherbrooke,Census division,division de recensement,cd2443,er2430,pr24,pch02,"65,830","149,630","63,810","151,650",795
Coaticook,Coaticook,Census division,division de recensement,cd2444,er2430,pr24,pch02,"7,710","17,990","7,035","18,665",5
Memphrémagog,Memphrémagog,Census division,division de recensement,cd2445,er2430,pr24,pch02,"26,910","45,170","24,105","47,975",30
Brome-Missisquoi,Brome-Missisquoi,Census division,division de recensement,cd2446,er2435,pr24,pch02,"32,605","50,735","28,650","54,690",45
La Haute-Yamaska,La Haute-Yamaska,Census division,division de recensement,cd2447,er2435,pr24,pch02,"29,945","82,720","29,380","83,285",165
Acton,Acton,Census division,division de recensement,cd2448,er2435,pr24,pch02,"2,900","14,975","2,865","15,010",15
Drummond,Drummond,Census division,division de recensement,cd2449,er2433,pr24,pch02,"24,735","97,045","24,575","97,205",210
Nicolet-Yamaska,Nicolet-Yamaska,Census division,division de recensement,cd2450,er2433,pr24,pch02,"4,275","22,300","4,250","22,325",15
Maskinongé,Maskinongé,Census division,division de recensement,cd2451,er2470,pr24,pch02,"6,430","35,795","6,395","35,830",10
D'Autray,D'Autray,Census division,division de recensement,cd2452,er2450,pr24,pch02,"10,235","41,135","10,170","41,200",45
Pierre-De Saurel,Pierre-De Saurel,Census division,division de recensement,cd2453,er2435,pr24,pch02,"12,410","50,175","12,330","50,255",25
Les Maskoutains,Les Maskoutains,Census division,division de recensement,cd2454,er2435,pr24,pch02,"21,115","82,515","20,995","82,635",175
Rouville,Rouville,Census division,division de recensement,cd2455,er2435,pr24,pch02,"11,355","34,955","11,250","35,060",55
