"geographic name, english","geographic name, french","georaphie type, english","georaphie type, french",census division code,economic region code,province code,canadian heritage region code,Total,"English mother tongue, adjusted","French mother tongue, adjusted","Other mother tongue, adjusted"
Canada,Canada,national,nationale,n.d.,n.d.,n.d.,n.d.,"33,121,175","19,137,519","7,172,559","6,811,097"
Division No. 1,Division No. 1,Census division,division de recensement,cd1001,er1010,pr10,pch01,"260,005","253,914","1,134","4,957"
Division No. 2,Division No. 2,Census division,division de recensement,cd1002,er1020,pr10,pch01,"21,260","21,068",115,78
Division No. 3,Division No. 3,Census division,division de recensement,cd1003,er1020,pr10,pch01,"16,205","16,123",38,45
Division No. 4,Division No. 4,Census division,division de recensement,cd1004,er1030,pr10,pch01,"20,640","20,048",490,103
Division No. 5,Division No. 5,Census division,division de recensement,cd1005,er1030,pr10,pch01,"40,525","40,070",168,288
Division No. 6,Division No. 6,Census division,division de recensement,cd1006,er1040,pr10,pch01,"37,055","36,638",150,268
Division No. 7,Division No. 7,Census division,division de recensement,cd1007,er1040,pr10,pch01,"34,355","34,048",98,210
Division No. 8,Division No. 8,Census division,division de recensement,cd1008,er1040,pr10,pch01,"36,705","36,445",158,103
Division No. 9,Division No. 9,Census division,division de recensement,cd1009,er1030,pr10,pch01,"16,600","16,490",28,83
Division No. 10,Division No. 10,Census division,division de recensement,cd1010,er1030,pr10,pch01,"23,975","21,203",365,"2,408"
Division No. 11,Division No. 11,Census division,division de recensement,cd1011,er1030,pr10,pch01,"2,615","2,045", -   ,570
Kings,Kings,Census division,division de recensement,cd1101,er1110,pr11,pch01,"17,860","17,300",230,330
Queens,Queens,Census division,division de recensement,cd1102,er1110,pr11,pch01,"76,700","70,823","1,756","4,121"
Prince,Prince,Census division,division de recensement,cd1103,er1110,pr11,pch01,"43,875","39,867","3,452",557
Shelburne,Shelburne,Census division,division de recensement,cd1201,er1240,pr12,pch01,"14,350","14,060",170,120
Yarmouth,Yarmouth,Census division,division de recensement,cd1202,er1240,pr12,pch01,"24,945","19,477","5,199",269
Digby,Digby,Census division,division de recensement,cd1203,er1240,pr12,pch01,"17,780","12,003","5,575",203
Queens,Queens,Census division,division de recensement,cd1204,er1240,pr12,pch01,"10,815","10,578",90,148
Annapolis,Annapolis,Census division,division de recensement,cd1205,er1230,pr12,pch01,"20,455","19,585",470,400
Lunenburg,Lunenburg,Census division,division de recensement,cd1206,er1240,pr12,pch01,"46,785","45,378",560,848
Kings,Kings,Census division,division de recensement,cd1207,er1230,pr12,pch01,"59,725","56,797","1,289","1,639"
Hants,Hants,Census division,division de recensement,cd1208,er1230,pr12,pch01,"41,940","40,398",553,990
Halifax,Halifax,Census division,division de recensement,cd1209,er1250,pr12,pch01,"386,435","350,451","11,033","24,951"
Colchester,Colchester,Census division,division de recensement,cd1210,er1220,pr12,pch01,"50,430","48,688",610,"1,133"
Cumberland,Cumberland,Census division,division de recensement,cd1211,er1220,pr12,pch01,"30,470","29,693",398,380
Pictou,Pictou,Census division,division de recensement,cd1212,er1220,pr12,pch01,"44,965","43,659",487,819
Guysborough,Guysborough,Census division,division de recensement,cd1213,er1220,pr12,pch01,"8,035","7,765",165,105
Antigonish,Antigonish,Census division,division de recensement,cd1214,er1220,pr12,pch01,"19,450","18,208",625,618
